"filename", "language", "Python", "comment", "blank", "total"
"d:\project\MATH-IME\src\const\config.py", "Python", 39, 0, 6, 45
"d:\project\MATH-IME\src\const\static.py", "Python", 5, 0, 0, 5
"d:\project\MATH-IME\src\core\gui\editconfig.py", "Python", 322, 21, 37, 380
"d:\project\MATH-IME\src\core\gui\guimanager.py", "Python", 23, 0, 3, 26
"d:\project\MATH-IME\src\core\gui\input.py", "Python", 140, 19, 21, 180
"d:\project\MATH-IME\src\core\gui\status.py", "Python", 49, 2, 9, 60
"d:\project\MATH-IME\src\core\gui\tray.py", "Python", 67, 2, 15, 84
"d:\project\MATH-IME\src\core\ime\corpusdata.py", "Python", 108, 7, 22, 137
"d:\project\MATH-IME\src\core\ime\imectrl.py", "Python", 132, 7, 20, 159
"d:\project\MATH-IME\src\core\ime\imemanager.py", "Python", 12, 0, 2, 14
"d:\project\MATH-IME\src\core\ime\keyboard.py", "Python", 98, 14, 12, 124
"d:\project\MATH-IME\src\core\ime\searchalgorithm.py", "Python", 46, 1, 8, 55
"d:\project\MATH-IME\src\core\state.py", "Python", 38, 3, 7, 48
"d:\project\MATH-IME\src\run.py", "Python", 6, 0, 2, 8
"d:\project\MATH-IME\src\test.py", "Python", 8, 0, 3, 11
"d:\project\MATH-IME\src\utils\keyutils.py", "Python", 20, 1, 3, 24
"Total", "-", 1113, 77, 170, 1360
