α,Α,alfa-aerfa-alpha,α,Α,希腊字符
β,Β,beita-beitai-beta,β,Β,希腊字符
γ,Γ,gama-gamma,γ,Γ,希腊字符
δ,Δ,delta-delta,δ,Δ,希腊字符
ε,Ε,epis-epsilon,ε,Ε,希腊字符
ζ,Ζ,zita-zeta,ζ,Ζ,希腊字符
η,Η,ita-ita-hta-etna-ita-eta,η,Η,希腊字符
θ,Θ,theta-th-taita-thaita-thaitai,θ,Θ,希腊字符
ι,Ι,ita-ita-ita,ι,Ι,希腊字符
κ,Κ,ka-kappa,κ,Κ,希腊字符
λ,Λ,lambda-lambda,λ,Λ,希腊字符
μ,Μ,my-mu,μ,Μ,希腊字符
ν,Ν,nue-nu,ν,Ν,希腊字符
ξ,Ξ,xyks-ksi,ξ,Ξ,希腊字符
ο,Ο,o-omikron,ο,Ο,希腊字符
π,Π,pi-pi,π,Π,希腊字符
ρ,Ρ,ro-rho,ρ,Ρ,希腊字符
σ,Σ,sigma-sigma,σ,Σ,希腊字符
τ,Τ,tao-tav,τ,Τ,希腊字符
υ,Υ,y-ypsilon-ypsilon,υ,Υ,希腊字符
φ,Φ,phy-phi,φ,Φ,希腊字符
χ,Χ,kih-kh,χ,Χ,希腊字符
ψ,Ψ,psi-psai-psaria-psida-psaine-psi-psi,ψ,Ψ,希腊字符
ω,Ω,omega-omega,ω,Ω,希腊字符
